project_location_name,wpp_location_name,wpp_matched,year,LocID,ISO3_code,wpp_population_20plus,wpp_male_population_20plus,wpp_female_population_20plus
Solomon Islands,Solomon Islands,True,2023,90,SLB,419391.0,212574.0,206820.0
Solomon Islands,Solomon Islands,True,2050,90,SLB,815103.0,411819.0,403284.0
Sri Lanka,Sri Lanka,True,2023,144,LKA,16029881.0,7587599.0,8442285.0
Sri Lanka,Sri Lanka,True,2050,144,LKA,19019772.0,9119559.0,9900212.0
Taiwan,"China, Taiwan Province of China",True,2023,158,TWN,19497201.0,9568093.0,9929106.0
Taiwan,"China, Taiwan Province of China",True,2050,158,TWN,17248291.0,8375550.999999999,8872739.0
Thailand,Thailand,True,2023,764,THA,56531438.0,27147971.0,29383467.0
Thailand,Thailand,True,2050,764,THA,55920590.0,26524755.999999996,29395837.0
Timor-Leste,Timor-Leste,True,2023,626,TLS,751654.0,376559.0,375096.0
Timor-Leste,Timor-Leste,True,2050,626,TLS,1302530.0,651029.0,651498.0
Tokelau,Tokelau,True,2023,772,TKL,1524.0,728.0,801.0
Tokelau,Tokelau,True,2050,772,TKL,2695.0,1314.0,1385.0
Tonga,Tonga,True,2023,776,TON,55798.0,24624.0,31171.0
Tonga,Tonga,True,2050,776,TON,65414.0,29631.999999999996,35786.0
Tuvalu,Tuvalu,True,2023,798,TUV,5758.0,2883.0,2879.0
Tuvalu,Tuvalu,True,2050,798,TUV,6290.999999999999,3215.9999999999995,3077.0
Vanuatu,Vanuatu,True,2023,548,VUT,166323.0,82501.0,83826.00000000001
Vanuatu,Vanuatu,True,2050,548,VUT,322431.0,159892.0,162536.0
Viet Nam,Viet Nam,True,2023,704,VNM,69528661.0,33345864.0,36182798.0
Viet Nam,Viet Nam,True,2050,704,VNM,85110983.0,40784004.0,44326983.0
