location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
17,Sri Lanka,Female,9,20 to 24,2023,849505.4716667111,yes,no
17,Sri Lanka,Female,10,25 to 29,2023,815596.890668541,yes,no
17,Sri Lanka,Female,11,30 to 34,2023,798032.3928529561,yes,no
17,Sri Lanka,Female,12,35 to 39,2023,781799.3717911313,yes,no
17,Sri Lanka,Female,13,40 to 44,2023,838009.6693594131,yes,no
17,Sri Lanka,Female,14,45 to 49,2023,743894.0391232924,yes,no
17,Sri Lanka,Female,15,50 to 54,2023,696833.807920463,yes,no
17,Sri Lanka,Female,16,55 to 59,2023,668582.9479228868,yes,no
17,Sri Lanka,Female,17,60 to 64,2023,625042.299397221,yes,no
17,Sri Lanka,Female,18,65 to 69,2023,531171.3821064688,yes,no
17,Sri Lanka,Female,19,70 to 74,2023,429761.3989756484,yes,no
17,Sri Lanka,Female,20,75 to 79,2023,287555.0672149476,yes,no
17,Sri Lanka,Female,30,80 to 84,2023,156283.19022359236,yes,no
17,Sri Lanka,Female,31,85 to 89,2023,77452.1692756253,yes,yes
17,Sri Lanka,Female,32,90 to 94,2023,29797.63162679388,yes,yes
17,Sri Lanka,Female,235,95 plus,2023,9904.70460813251,yes,yes
18,Thailand,Male,9,20 to 24,2023,1907074.95545109,yes,no
18,Thailand,Male,10,25 to 29,2023,1979805.102666608,yes,no
18,Thailand,Male,11,30 to 34,2023,1843746.739724618,yes,no
18,Thailand,Male,12,35 to 39,2023,2024745.220021673,yes,no
18,Thailand,Male,13,40 to 44,2023,2403027.5083007696,yes,no
18,Thailand,Male,14,45 to 49,2023,2578508.619520769,yes,no
18,Thailand,Male,15,50 to 54,2023,2599294.165376249,yes,no
18,Thailand,Male,16,55 to 59,2023,2510101.671771846,yes,no
18,Thailand,Male,17,60 to 64,2023,2262691.3692208524,yes,no
18,Thailand,Male,18,65 to 69,2023,1741075.8445928765,yes,no
18,Thailand,Male,19,70 to 74,2023,1231714.8982218269,yes,no
18,Thailand,Male,20,75 to 79,2023,805781.5005692285,yes,no
18,Thailand,Male,30,80 to 84,2023,500756.98756361456,yes,no
18,Thailand,Male,31,85 to 89,2023,282015.4613023546,yes,no
