year,age_key,measure_id,measure_name,total_number,high_bmi_attr_number,population,total_rate,high_bmi_attr_rate
1994,45-49,2,DALYs (Disability-Adjusted Life Years),40039.93390944971,549.5424003854322,85738039.96704505,46.70031403195102,0.6409551706531413
1994,50-54,2,DALYs (Disability-Adjusted Life Years),44954.08906760036,709.4653351487744,67857695.80888672,66.2475914216249,1.0455193426356544
1994,55-59,2,DALYs (Disability-Adjusted Life Years),53168.19860792328,991.8481859021024,61756179.022122994,86.09373094290171,1.606071168274176
1994,60-64,2,DALYs (Disability-Adjusted Life Years),56266.065679758896,1068.783900055456,52584779.835299395,107.00066798033508,2.0324966718563626
1994,65-69,2,DALYs (Disability-Adjusted Life Years),48619.795627139414,872.3028990336738,40532137.24710341,119.95369336368756,2.152126579745094
1994,70-74,2,DALYs (Disability-Adjusted Life Years),35416.47777745627,473.7124368509416,28181529.285315525,125.67266105005393,1.6809323300200663
1994,75-79,2,DALYs (Disability-Adjusted Life Years),20921.1169130636,221.9911788329062,16923830.42974981,123.61927756193481,1.31170765243946
1994,80-84,2,DALYs (Disability-Adjusted Life Years),9785.23041871003,67.91431594956882,8623690.746583933,113.46917121983083,0.7875319042078525
1994,85-89,2,DALYs (Disability-Adjusted Life Years),3539.379620181334,13.4770201380132,3393924.3293812852,104.28575526981666,0.3970925344841166
1994,90-94,2,DALYs (Disability-Adjusted Life Years),994.2497942472061,1.8799683593049734,948745.168619234,104.79629590042579,0.19815314180108076
1994,95+,2,DALYs (Disability-Adjusted Life Years),274.008857511609,0.18634742406096366,205722.1872951428,133.19363415016466,0.09058207406360948
1995,20-24,2,DALYs (Disability-Adjusted Life Years),7341.4995435835135,49.79610207491254,171511905.0592604,4.280460613534026,0.029033612598324942
1995,25-29,2,DALYs (Disability-Adjusted Life Years),10493.107455305773,143.73590944495226,179291344.3343419,5.852545472434107,0.08016890607776023
1995,30-34,2,DALYs (Disability-Adjusted Life Years),17753.664907578874,334.14604713142654,155966264.14045453,11.383016067879213,0.2142425151829714
1995,35-39,2,DALYs (Disability-Adjusted Life Years),24925.227339068908,447.1337862383332,124166935.21977486,20.073965178371665,0.36010696845090734
1995,40-44,2,DALYs (Disability-Adjusted Life Years),38390.20306119742,636.2944045525375,120202968.86829092,31.937816031201713,0.5293499907225582
1995,45-49,2,DALYs (Disability-Adjusted Life Years),41570.754520747236,594.6633164481212,89321602.36856855,46.54053825547536,0.6657553163839992
1995,50-54,2,DALYs (Disability-Adjusted Life Years),45230.440247650346,745.4376642120907,68868199.13835609,65.67681573433113,1.0824120182299348
1995,55-59,2,DALYs (Disability-Adjusted Life Years),52983.83332647466,1019.379775836269,61947070.18757107,85.530813912657365,1.645565759203242
1995,60-64,2,DALYs (Disability-Adjusted Life Years),57123.4750271504,1129.9205595889473,53634093.96047287,106.50590102118466,2.1067206997505608
1995,65-69,2,DALYs (Disability-Adjusted Life Years),50008.05749237744,935.0369773936783,41760736.36245099,119.74898396988516,2.2390337403973875
1995,70-74,2,DALYs (Disability-Adjusted Life Years),36592.564605467276,515.7891908112003,29182715.634744752,125.39122494104149,1.767447544179559
1995,75-79,2,DALYs (Disability-Adjusted Life Years),21693.438474034825,244.90666641116653,17490989.478274245,124.02636512348538,1.4001876035393415
1995,80-84,2,DALYs (Disability-Adjusted Life Years),10231.920106498972,75.57494638691705,8956343.624549842,114.24215656992776,0.8438147256851766
1995,85-89,2,DALYs (Disability-Adjusted Life Years),3676.1595173669994,14.93833374444183,3487178.572004792,105.41930794365835,0.4283788006833767
1995,90-94,2,DALYs (Disability-Adjusted Life Years),1072.129717944757,2.176792624752384,1020685.2432505863,105.04018991499622,0.21326776684063062
1995,95+,2,DALYs (Disability-Adjusted Life Years),300.9317092995716,0.2214693510585439,223268.3183337321,134.78477893569814,0.09919425770363927
1996,20-24,2,DALYs (Disability-Adjusted Life Years),7239.9308412301325,49.50201758120379,166612370.96437138,4.345374115574124,0.029710889590419048
1996,25-29,2,DALYs (Disability-Adjusted Life Years),10692.618496831456,149.97891887041442,178430904.3973003,5.992582133094449,0.08405433990093233
1996,30-34,2,DALYs (Disability-Adjusted Life Years),18789.824713913244,367.4020856591373,164812671.51515922,11.400716062165756,0.22292101831826944
1996,35-39,2,DALYs (Disability-Adjusted Life Years),25084.80345459227,457.36123000214644,123473537.48438284,20.31593486804008,0.3704123485244718
1996,40-44,2,DALYs (Disability-Adjusted Life Years),39444.06172031645,679.3333091733044,124031154.79772654,31.801737059243642,0.5477118311775618
1996,45-49,2,DALYs (Disability-Adjusted Life Years),43289.180137339354,642.4269991461446,94152187.36324377,45.97788043981131,0.6823282784367287
1996,50-54,2,DALYs (Disability-Adjusted Life Years),45840.210678337266,790.3170205359813,71042724.91989094,64.52484857531509,1.1124531349651312
1996,55-59,2,DALYs (Disability-Adjusted Life Years),52087.09704790861,1033.7515401710646,61924306.53408732,84.11413863671828,1.6693792761361292
1996,60-64,2,DALYs (Disability-Adjusted Life Years),57638.4118441077,1181.716190122504,54867858.64456953,105.04950123438503,2.153749425100742
1996,65-69,2,DALYs (Disability-Adjusted Life Years),50619.56864701361,976.0563617837461,42850333.84434636,118.13109515293151,2.277826738361634
1996,70-74,2,DALYs (Disability-Adjusted Life Years),37333.06100134751,548.9758847292281,30112874.845616806,123.97707356985102,1.8230603605392275
1996,75-79,2,DALYs (Disability-Adjusted Life Years),22442.914714824332,265.3469275324566,18147663.306231823,123.66834416151825,1.462154785742238
1996,80-84,2,DALYs (Disability-Adjusted Life Years),10655.212708935278,82.2142413599263,9326522.60560621,114.24636125934425,0.881510128013918
1996,85-89,2,DALYs (Disability-Adjusted Life Years),3824.205052890402,16.312128908329395,3625382.824164322,105.48417197215332,0.4499422460878863
1996,90-94,2,DALYs (Disability-Adjusted Life Years),1132.184137939698,2.486794859615107,1083134.2254120007,104.52851653810863,0.22959249198031612
1996,95+,2,DALYs (Disability-Adjusted Life Years),336.88805797309175,0.2574852884587263,249610.71823253285,134.96538143816923,0.10315474042218718
1997,20-24,2,DALYs (Disability-Adjusted Life Years),7040.944128720291,47.66297738489734,161248247.38064337,4.366524438618799,0.029558756860397925
1997,25-29,2,DALYs (Disability-Adjusted Life Years),10749.659269444172,153.25250946412095,177014954.36380172,6.0727407512426534,0.08657602405114083
1997,30-34,2,DALYs (Disability-Adjusted Life Years),19422.947608656425,389.00287248112704,171411472.3068245,11.331182999169146,0.22694097848060982
1997,35-39,2,DALYs (Disability-Adjusted Life Years),25502.504379422673,479.1446441188351,126422072.89869775,20.172509273643914,0.3790039453812584
1997,40-44,2,DALYs (Disability-Adjusted Life Years),39679.068744808406,704.5578419491563,125890303.23777644,31.518764928116987,0.5596601357122926
1997,45-49,2,DALYs (Disability-Adjusted Life Years),44518.454929222986,681.0057175943592,98883305.89329435,45.021204061748456,0.6886963491382835
1997,50-54,2,DALYs (Disability-Adjusted Life Years),46388.64071555764,835.0117407713515,73865930.09455615,62.801132614420894,1.1304423293695058
1997,55-59,2,DALYs (Disability-Adjusted Life Years),50785.11715806627,1037.8913051790487,62047620.24761238,81.84861394425599,1.6727334602635098
1997,60-64,2,DALYs (Disability-Adjusted Life Years),57196.955363614274,1208.7853876807828,55897944.818602085,102.32389678945745,2.162486280315829
1997,65-69,2,DALYs (Disability-Adjusted Life Years),50665.817940803914,1008.7348540363212,43911139.51273365,115.38260792824903,2.2972185764931043
1997,70-74,2,DALYs (Disability-Adjusted Life Years),37768.16541082585,578.2517727695482,31066754.690773368,121.57100343037364,1.8613201749756159
1997,75-79,2,DALYs (Disability-Adjusted Life Years),23023.231397061376,282.5210684288502,18845227.454284873,122.17009029427523,1.499165075689298
1997,80-84,2,DALYs (Disability-Adjusted Life Years),10960.884552004003,88.88083165484596,9697867.011945477,113.02366322927287,0.9164987676709303
1997,85-89,2,DALYs (Disability-Adjusted Life Years),3952.2862500953834,17.911626810045565,3784066.4735531057,104.44547625465799,0.47334334465924893
1997,90-94,2,DALYs (Disability-Adjusted Life Years),1189.1482100292608,2.7680974757732746,1140716.1215601792,104.24576172403351,0.24266313269836975
1997,95+,2,DALYs (Disability-Adjusted Life Years),365.6853286863023,0.30302277690388046,275437.3767341567,132.7653251066394,0.11001512594143979
1998,20-24,2,DALYs (Disability-Adjusted Life Years),6886.3871823319005,45.94468466655251,156275590.62492326,4.406566089300475,0.029399783090133545
1998,25-29,2,DALYs (Disability-Adjusted Life Years),10789.13011076326,154.05721721403026,175304869.89520925,6.154495375520716,0.08787959929813699
1998,30-34,2,DALYs (Disability-Adjusted Life Years),19891.20470927222,398.73920337029597,174905369.0692143,11.372552377966617,0.22797425001430638
1998,35-39,2,DALYs (Disability-Adjusted Life Years),26623.330552151336,515.1874249809968,133740509.96030866,19.906706322603807,0.38521419212016866
1998,40-44,2,DALYs (Disability-Adjusted Life Years),39364.109168790754,709.1945553912659,124845713.32391375,31.53020485906479,0.5680567930684587
1998,45-49,2,DALYs (Disability-Adjusted Life Years),46497.56138331171,737.5946393460911,105184121.03216426,44.20587530421366,0.7012414346463397
1998,50-54,2,DALYs (Disability-Adjusted Life Years),46867.81750656761,868.4245309025946,76303799.50750592,61.4226523568558,1.1381144012588371
1998,55-59,2,DALYs (Disability-Adjusted Life Years),50102.96796573535,1048.964480662538,62570515.49207501,80.07440496807357,1.676451715976987
