year,age_key,population,internal_proxy_population_2023,relative_difference_vs_internal_2023_pct
2027,90-94,5505165,5900606.059086778,NA
2027,95+,1114951,1778940.7581121721,NA
2028,20-24,141574071,131749697.5566825,NA
2028,25-29,138505423,139696327.26449484,NA
2028,30-34,146382776,168364801.39735228,NA
2028,35-39,171276773,175975858.43011886,NA
2028,40-44,169436594,146041571.45187494,NA
2028,45-49,151596272,149727843.74405357,NA
2028,50-54,145176409,164412029.64128557,NA
2028,55-59,163868947,158690707.40123406,NA
2028,60-64,147997105,115454879.15522063,NA
2028,65-69,100997433,102279276.13948205,NA
2028,70-74,91099788,78450201.79620078,NA
2028,75-79,63481549,47292203.690509714,NA
2028,80-84,32554140,28544607.78563273,NA
2028,85-89,15515987,15615216.903292721,NA
2028,90-94,5718259,5900606.059086778,NA
2028,95+,1202463,1778940.7581121721,NA
2029,20-24,143664515,131749697.5566825,NA
2029,25-29,138073707,139696327.26449484,NA
2029,30-34,143739846,168364801.39735228,NA
2029,35-39,165206388,175975858.43011886,NA
2029,40-44,173905199,146041571.45187494,NA
2029,45-49,154141231,149727843.74405357,NA
2029,50-54,141630065,164412029.64128557,NA
2029,55-59,161452827,158690707.40123406,NA
2029,60-64,149543993,115454879.15522063,NA
2029,65-69,110875087,102279276.13948205,NA
2029,70-74,90327384,78450201.79620078,NA
2029,75-79,67380302,47292203.690509714,NA
2029,80-84,34918340,28544607.78563273,NA
2029,85-89,16056065,15615216.903292721,NA
2029,90-94,5896967,5900606.059086778,NA
2029,95+,1295964,1778940.7581121721,NA
2030,20-24,145617700,131749697.5566825,NA
2030,25-29,137695737,139696327.26449484,NA
2030,30-34,141818004,168364801.39735228,NA
2030,35-39,157714062,175975858.43011886,NA
2030,40-44,178177704,146041571.45187494,NA
2030,45-49,156918233,149727843.74405357,NA
2030,50-54,140642644,164412029.64128557,NA
2030,55-59,157124559,158690707.40123406,NA
2030,60-64,152251128,115454879.15522063,NA
2030,65-69,120971781,102279276.13948205,NA
2030,70-74,87683771,78450201.79620078,NA
2030,75-79,70856911,47292203.690509714,NA
2030,80-84,37899676,28544607.78563273,NA
2030,85-89,16728840,15615216.903292721,NA
2030,90-94,6097045,5900606.059086778,NA
2030,95+,1386797,1778940.7581121721,NA
2031,20-24,147347045,131749697.5566825,NA
2031,25-29,137704404,139696327.26449484,NA
2031,30-34,140336345,168364801.39735228,NA
2031,35-39,151748630,175975858.43011886,NA
2031,40-44,179118584,146041571.45187494,NA
